"dataset","freq","freq_label","unit","unit_label","hazard","hazard_label","nace_r2","nace_r2_label","waste","waste_label","geo","geo_label","time","time_label","value"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","HR","Croatia","2020","2020","630139"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","HR","Croatia","2022","2022","591031"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","IT","Italy","2010","2010","35887955"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","IT","Italy","2012","2012","33916487"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","IT","Italy","2014","2014","34225306"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","IT","Italy","2016","2016","35393242"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","IT","Italy","2018","2018","41265790"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","IT","Italy","2020","2020","46195675"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","IT","Italy","2022","2022","55399697"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","CY","Cyprus","2010","2010","160251"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","CY","Cyprus","2012","2012","138222"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","CY","Cyprus","2014","2014","152269"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","CY","Cyprus","2016","2016","329140"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","CY","Cyprus","2018","2018","324668"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","CY","Cyprus","2020","2020","431614"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","CY","Cyprus","2022","2022","341061"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LV","Latvia","2010","2010","144885"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LV","Latvia","2012","2012","396258"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LV","Latvia","2014","2014","571132"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LV","Latvia","2016","2016","387571"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LV","Latvia","2018","2018","385371"
"env_wasgen_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TOTAL_HH","All NACE activities plus households","W121","Mineral waste from construction and demolition","LV","Latvia","2020","2020","317908"
