"dataset","freq","freq_label","unit","unit_label","hazard","hazard_label","wst_oper","wst_oper_label","waste","waste_label","geo","geo_label","time","time_label","value"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CY","Cyprus","2016","2016","187343"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CY","Cyprus","2018","2018","219631"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CY","Cyprus","2020","2020","259675"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CY","Cyprus","2022","2022","228953"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LV","Latvia","2010","2010","146712"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LV","Latvia","2012","2012","155323"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LV","Latvia","2014","2014","113431"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LV","Latvia","2016","2016","112528"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LV","Latvia","2018","2018","396407"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LV","Latvia","2020","2020","317839"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LV","Latvia","2022","2022","368226"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LT","Lithuania","2010","2010","320869"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","LT","Lithuania","2012","2012","457263"
